https://cars.usnews.com/cars-trucks,,,,,,,,,,,,,,,,,,,,,,
make ,model,rating2007,rating2008,rating2009,rating2010,rating2011,rating2012,rating2013,rating2014,rating2015,rating2016,rating2017,rating2018,rating2019,rating2020,rating2021,rating2022,,,,,
Volkswagen,Passat,8,"8,5","7,6","7,7",-,"7,7","8,1","7,5",8,"7,8","7,8","7,7","7,8","7,8","7,6",-,,,Volkswagen,,
Volvo Car,XC60,-,-,-,"7,9","8,7","8,2","7,6","8,1","7,8","7,9","7,8","7,8","7,9",8,"8,4","8,4",,1,Volvo Car,,
Volvo Car,S60,"8,2","7,9","7,7",-,"8,2",8,8,"7,9","7,9","7,6","7,8",8,"7,7","8,1","8,2","8,2",,,Volvo Car,,
Volvo Car,XC90,"7,9","8,2","7,7","7,4","7,3","7,6","7,5","7,3",-,"8,2","7,6","7,5","7,3","7,6",8,8,,,Volvo Car,,
Buick,Enclave,-,"8,6","8,3","8,3","8,6","8,6",9,"8,5","8,5","8,4","8,2",8,"7,9",8,8,"8,3",,1,Buick,,
Buick,Regal,-,-,-,-,"8,1",8,"8,4",8,"8,2","8,1","7,5",8,8,"7,6",-,-,,,Buick,,
Buick,LaCrosse,"7,5","7,5","7,8","8,4","9,2","8,2","8,6",9,"8,9",9,"8,6","8,8","8,1",-,-,-,,,Buick,,
Cadillac,Escalade,"9,1","9,3",9,"8,3","9,1","8,6",8,8,"8,2","7,6","7,1","7,2","6,9","6,7","8,3","8,5",,1,Cadillac,,
Cadillac,ATS,-,-,-,-,-,-,"7,3","7,3","7,8","7,5","7,9","7,4","7,1",-,-,-,,,Cadillac,,
Cadillac,CTS,8,9,"8,7","8,8","8,8","8,2","8,4","8,4","8,6","8,2","7,9","7,7","7,6",-,-,-,,,Cadillac,,
 audi,A4,,,,,,,,,,,,,,,,,,,,,
 audi,A6,,,,,,,,,,,,,,,,,,,,,
 audi,Q5,,,,,,,,,,,,,,,,,,,,,
 acura,MDX,,,,,,,,,,,,,,,,,,,,,
 acura,ILX,,,,,,,,,,,,,,,,,,,,,
 acura,RDX,,,,,,,,,,,,,,,,,,,,,
 lexus,RX 350,,,,,,,,,,,,,,,,,,,,,
 lexus,IS,,,,,,,,,,,,,,,,,,,,,
 lexus,ES,,,,,,,,,,,,,,,,,,,,,
 mercedes-benz,c-class,,,,,,7.9,7.8,8.2,7.9,8.1,7.7,7.8,7.9,8.0,8.4,,,,,,
 mercedes-benz,e-class,,,,9,8.8,9.1,8.8,8.4,7.9,8.3,8.0,7.6,8.0,7.9,8.7,8.7,,,,,
 mercedes-benz,GLS,,,,7.5,7.9,7.8,7.4,7.7,7.7,8,7.9,7.6,8,7.1,8.1,8.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
