,Company,model,Year,Expert_rating,Symbol
126,mercedes-benz,GLS,2013,7.4,DAI.DE
127,mercedes-benz,e.class,2013,8.8,DAI.DE
128,mercedes-benz,c.class,2013,7.8,DAI.DE
129,mercedes-benz,c.class,2014,8.2,DAI.DE
130,mercedes-benz,c.class,2019,7.9,DAI.DE
131,mercedes-benz,e.class,2019,8.0,DAI.DE
132,mercedes-benz,GLS,2019,8.0,DAI.DE
133,mercedes-benz,e.class,2014,8.4,DAI.DE
134,mercedes-benz,c.class,2018,7.8,DAI.DE
135,mercedes-benz,e.class,2022,8.7,DAI.DE
136,mercedes-benz,e.class,2012,9.1,DAI.DE
137,mercedes-benz,c.class,2012,7.9,DAI.DE
138,mercedes-benz,GLS,2018,7.6,DAI.DE
139,mercedes-benz,c.class,2020,8.0,DAI.DE
140,mercedes-benz,e.class,2020,7.9,DAI.DE
141,mercedes-benz,GLS,2020,7.1,DAI.DE
142,mercedes-benz,GLS,2011,7.9,DAI.DE
143,mercedes-benz,e.class,2011,8.8,DAI.DE
144,mercedes-benz,GLS,2012,7.8,DAI.DE
145,mercedes-benz,GLS,2014,7.7,DAI.DE
146,mercedes-benz,GLS,2022,8.2,DAI.DE
147,bmw,x5,2022,8.4,BMW.DE
148,bmw,x3,2019,8.6,BMW.DE
149,bmw,5 series,2019,7.7,BMW.DE
150,bmw,x3,2013,8.8,BMW.DE
151,bmw,x5,2013,7.7,BMW.DE
152,bmw,x5,2020,7.6,BMW.DE
153,bmw,x3,2020,8.0,BMW.DE
154,bmw,5 series,2012,8.2,BMW.DE
155,bmw,x5,2019,7.7,BMW.DE
156,bmw,x3,2012,8.6,BMW.DE
157,bmw,x5,2012,7.4,BMW.DE
158,bmw,x5,2021,8.4,BMW.DE
159,bmw,x3,2021,8.5,BMW.DE
160,bmw,5 series,2021,8.1,BMW.DE
161,bmw,5 series,2020,7.9,BMW.DE
162,bmw,x5,2007,7.7,BMW.DE
163,bmw,x3,2008,7.9,BMW.DE
164,bmw,x3,2022,8.4,BMW.DE
165,bmw,x5,2016,8.1,BMW.DE
166,bmw,x3,2016,8.6,BMW.DE
167,bmw,5 series,2016,8.0,BMW.DE
168,bmw,x5,2017,8.1,BMW.DE
169,bmw,x3,2017,8.3,BMW.DE
170,bmw,5 series,2017,8.0,BMW.DE
171,bmw,5 series,2015,8.0,BMW.DE
172,bmw,x3,2015,8.6,BMW.DE
173,bmw,x5,2015,8.3,BMW.DE
174,bmw,x5,2009,7.2,BMW.DE
175,bmw,x3,2009,8.9,BMW.DE
176,bmw,5 series,2009,8.0,BMW.DE
177,bmw,x5,2018,8.1,BMW.DE
178,bmw,x3,2018,8.3,BMW.DE
179,bmw,5 series,2018,8.1,BMW.DE
180,bmw,5 series,2014,8.1,BMW.DE
181,bmw,x3,2014,8.1,BMW.DE
182,bmw,x5,2014,8.0,BMW.DE
183,bmw,5 series,2008,9.6,BMW.DE
184,bmw,x5,2008,8.0,BMW.DE
185,bmw,5 series,2022,8.2,BMW.DE
186,bmw,5 series,2013,7.9,BMW.DE
187,bmw,x5,2010,7.3,BMW.DE
188,bmw,x3,2010,8.2,BMW.DE
189,bmw,x5,2011,7.4,BMW.DE
190,bmw,x3,2011,8.0,BMW.DE
191,bmw,5 series,2010,8.4,BMW.DE
192,bmw,5 series,2011,8.4,BMW.DE
193,bmw,5 series,2007,9.6,BMW.DE
194,bmw,x3,2007,7.5,BMW.DE
195,buick,Enclave,2010,8.3,GM
196,buick,Regal,2017,7.5,GM
197,buick,Regal,2020,7.6,GM
198,buick,Enclave,2020,8.0,GM
199,buick,Regal,2014,8.0,GM
200,buick,Enclave,2014,8.5,GM
201,buick,Enclave,2017,8.2,GM
202,buick,LaCrosse,2009,7.8,GM
203,buick,Enclave,2009,8.3,GM
204,buick,LaCrosse,2017,8.6,GM
205,buick,LaCrosse,2008,7.5,GM
206,buick,LaCrosse,2018,8.8,GM
207,buick,Regal,2018,8.0,GM
208,buick,Enclave,2013,9.0,GM
209,buick,Regal,2013,8.4,GM
210,buick,LaCrosse,2013,8.6,GM
211,buick,LaCrosse,2010,8.4,GM
212,buick,Enclave,2022,8.3,GM
213,buick,Enclave,2018,8.0,GM
214,buick,Regal,2019,8.0,GM
