,Symbol,Date,Change_%
0,000270.KS,2002,0.0
1,000270.KS,2003,2.05016093336865
2,000270.KS,2004,4.557245132059817
3,000270.KS,2005,0.2558755113499567
4,000270.KS,2006,-1.5203595980962437
5,000270.KS,2007,-0.017335660267592257
6,000270.KS,2008,-4.3019482925303665
7,000270.KS,2009,0.8792264645831827
8,000270.KS,2010,-2.324499273908409
9,000270.KS,2011,-0.533141909003787
10,000270.KS,2012,-0.22071989864606012
11,000270.KS,2013,1.2797786062958894
12,000270.KS,2014,2.295165890641382
13,000270.KS,2015,3.7739740152608725
14,000270.KS,2016,6.084059169358613
15,000270.KS,2017,-1.1325905571536898
16,000270.KS,2018,3.8165165520388067
17,000270.KS,2019,-3.6261375170474786
18,000270.KS,2020,-2.446832297106305
19,000270.KS,2021,-21.90017909151758
20,000270.KS,2022,28.6995515695067
21,7201.T,2002,0.0
22,7201.T,2003,1.6738287175167343
23,7201.T,2004,-3.657687702612633
24,7201.T,2005,0.5234614874690457
25,7201.T,2006,2.048625286169403
26,7201.T,2007,-0.44514250648982623
27,7201.T,2008,-1.8948497129795294
28,7201.T,2009,-3.18253307818801
29,7201.T,2010,-0.7243547917161419
30,7201.T,2011,-4.973730656937681
31,7201.T,2012,-2.01625961785431
32,7201.T,2013,-4.149936693912171
33,7201.T,2014,-0.05867773005721055
34,7201.T,2015,4.778178970811897
35,7201.T,2016,8.510223827904673
36,7201.T,2017,-2.301889087998532
37,7201.T,2018,-1.839577604120557
38,7201.T,2019,1.517428168954038
39,7201.T,2020,-2.108612292291112
40,7201.T,2021,4.958154581897456
41,7201.T,2022,0.6410256410256387
42,7261.T,2002,0.0
43,7261.T,2003,0.9625500639993234
44,7261.T,2004,-2.056337421982035
45,7261.T,2005,-0.16799439531629545
46,7261.T,2006,0.19889476997692057
47,7261.T,2007,0.5269054815667751
48,7261.T,2008,-2.7980535279805374
49,7261.T,2009,-0.46910216718266673
50,7261.T,2010,-3.8986068482639413
51,7261.T,2011,-4.240051921652189
52,7261.T,2012,2.9009850183855823
53,7261.T,2013,3.2492573899853827
54,7261.T,2014,-2.0335634856497475
55,7261.T,2015,6.173134559735405
56,7261.T,2016,6.777946943039415
57,7261.T,2017,-2.9244610949632266
58,7261.T,2018,3.8826149780359476
59,7261.T,2019,-2.0314080246474964
60,7261.T,2020,1.7969074893198878
61,7261.T,2021,4.324767977776367
62,7261.T,2022,-6.3180827886710205
63,7270.T,2002,0.0
64,7270.T,2003,-2.984126984126989
65,7270.T,2004,2.0942408376963373
66,7270.T,2005,-3.944773175542393
67,7270.T,2006,-0.04842896439504196
68,7270.T,2007,-3.774754346182918
69,7270.T,2008,-1.592422980849284
70,7270.T,2009,-2.68714719663522
71,7270.T,2010,-6.096451319381268
72,7270.T,2011,4.166666666666674
73,7270.T,2012,-0.1481481481481306
74,7270.T,2013,-0.31490340943499673
75,7270.T,2014,-3.9459120671031744
76,7270.T,2015,7.711864406779645
77,7270.T,2016,-2.378757954794808
78,7270.T,2017,-2.580178442247427
79,7270.T,2018,7.751191785845246
80,7270.T,2019,-8.205248191209813
81,7270.T,2020,4.076230809952364
82,7270.T,2021,8.002712783994559
83,7270.T,2022,-1.2244897959183598
84,BMW.DE,2002,0.0
85,BMW.DE,2003,2.0761357348837883
86,BMW.DE,2004,-1.4202786377708998
87,BMW.DE,2005,-0.6001925145801446
88,BMW.DE,2006,1.9350114049791145
89,BMW.DE,2007,-2.9778420114344173
90,BMW.DE,2008,-0.5284839086487136
91,BMW.DE,2009,-1.5581327264373557
92,BMW.DE,2010,-1.3917268299456609
93,BMW.DE,2011,-4.175067090774398
94,BMW.DE,2012,-5.8064857607465825
95,BMW.DE,2013,-0.11690306621181534
96,BMW.DE,2014,5.317633810280875
97,BMW.DE,2015,0.6103967578926284
98,BMW.DE,2016,11.775847273385676
99,BMW.DE,2017,-3.272116082363641
100,BMW.DE,2018,0.8266353479521538
101,BMW.DE,2019,-2.776467850734743
102,BMW.DE,2020,2.881893850405848
103,BMW.DE,2021,3.544402548433223
104,BMW.DE,2022,-3.100775193798444
105,DAI.DE,2002,0.0
106,DAI.DE,2003,2.2298617012892707
107,DAI.DE,2004,1.2743108231440203
108,DAI.DE,2005,0.5155369154933309
109,DAI.DE,2006,-0.20861600394416202
110,DAI.DE,2007,-1.5657600596125087
111,DAI.DE,2008,-0.17245086836814583
112,DAI.DE,2009,0.2079871088378482
113,DAI.DE,2010,-3.751290417139286
114,DAI.DE,2011,-2.411023403960666
115,DAI.DE,2012,2.21560656384181
116,DAI.DE,2013,-7.166280864197527
117,DAI.DE,2014,5.465993265993263
118,DAI.DE,2015,-3.487488586807308
119,DAI.DE,2016,16.62537471371428
120,DAI.DE,2017,-5.671427592192635
121,DAI.DE,2018,2.1759917301976905
122,DAI.DE,2019,-3.5086089433915446
123,DAI.DE,2020,6.771018729382616
124,DAI.DE,2021,3.1597738768223804
125,DAI.DE,2022,-3.9772727272727404
126,F,2002,0.0
127,F,2003,2.983768408309717
128,F,2004,0.3252831882747609
129,F,2005,0.4792255598707218
130,F,2006,-0.21429540214294995
131,F,2007,0.23093128276894248
132,F,2008,-0.34194797843269953
133,F,2009,-1.6294476445927741
134,F,2010,-2.138361914093323
135,F,2011,-5.98398975563329
136,F,2012,-1.3137402753274352
137,F,2013,1.9779604964453856
138,F,2014,-0.18331566941904853
139,F,2015,-1.3388873746317809
140,F,2016,9.299093533285795
141,F,2017,-0.7877360020785096
142,F,2018,4.04367971462567
143,F,2019,-2.2895526523294296
144,F,2020,-0.22453798368251565
