,Date,Symbol,Open
197,2010-01-14,BMW.DE,31.61000061035156
198,2010-01-14,HMC,36.59000015258789
199,2010-01-14,HYMTF,17.0
202,2010-01-14,000270.KS,19200.0
205,2010-01-14,7201.T,807.0
209,2010-01-14,7270.T,458.0
215,2010-01-14,7261.T,1225.0
217,2010-01-15,TM,91.87999725341795
218,2010-01-15,VOW3.DE,63.12033081054688
219,2010-01-15,DAI.DE,37.0
220,2010-01-15,F,11.739999771118164
221,2010-01-15,BMW.DE,32.04999923706055
222,2010-01-15,HMC,37.02999877929688
223,2010-01-15,HYMTF,16.760000228881836
226,2010-01-15,000270.KS,19200.0
229,2010-01-15,7201.T,808.0
233,2010-01-15,7270.T,454.0
239,2010-01-15,7261.T,1260.0
241,2010-01-18,VOW3.DE,61.5298957824707
242,2010-01-18,DAI.DE,36.57500076293945
243,2010-01-18,BMW.DE,31.81999969482422
246,2010-01-18,000270.KS,18750.0
248,2010-01-18,7201.T,786.0
252,2010-01-18,7270.T,454.0
257,2010-01-18,7261.T,1225.0
259,2010-01-19,TM,90.95999908447266
260,2010-01-19,VOW3.DE,61.10246658325195
261,2010-01-19,DAI.DE,36.650001525878906
262,2010-01-19,F,11.510000228881836
263,2010-01-19,BMW.DE,32.33000183105469
264,2010-01-19,HMC,36.459999084472656
265,2010-01-19,HYMTF,16.799999237060547
268,2010-01-19,000270.KS,18700.0
271,2010-01-19,7201.T,781.0
275,2010-01-19,7270.T,453.0
281,2010-01-19,7261.T,1245.0
283,2010-01-20,TM,90.72000122070312
284,2010-01-20,VOW3.DE,59.641258239746094
285,2010-01-20,DAI.DE,36.44499969482422
286,2010-01-20,F,11.68000030517578
287,2010-01-20,BMW.DE,32.29999923706055
288,2010-01-20,HMC,36.08000183105469
289,2010-01-20,HYMTF,16.25
292,2010-01-20,000270.KS,19050.0
295,2010-01-20,7201.T,780.0
299,2010-01-20,7270.T,453.0
305,2010-01-20,7261.T,1235.0
307,2010-01-21,TM,91.16999816894533
308,2010-01-21,VOW3.DE,59.31322860717773
309,2010-01-21,DAI.DE,35.900001525878906
310,2010-01-21,F,11.529999732971191
311,2010-01-21,BMW.DE,32.0
312,2010-01-21,HMC,35.93000030517578
313,2010-01-21,HYMTF,16.25
316,2010-01-21,000270.KS,18500.0
319,2010-01-21,7201.T,780.0
323,2010-01-21,7270.T,442.0
329,2010-01-21,7261.T,1185.0
331,2010-01-22,TM,89.77999877929688
332,2010-01-22,VOW3.DE,57.424591064453125
333,2010-01-22,DAI.DE,34.400001525878906
334,2010-01-22,F,11.010000228881836
335,2010-01-22,BMW.DE,31.13999938964844
336,2010-01-22,HMC,35.4900016784668
337,2010-01-22,HYMTF,15.75
340,2010-01-22,000270.KS,19300.0
343,2010-01-22,7201.T,745.0
347,2010-01-22,7270.T,443.0
353,2010-01-22,7261.T,1220.0
355,2010-01-25,TM,88.37999725341797
356,2010-01-25,VOW3.DE,56.32122802734375
357,2010-01-25,DAI.DE,33.560001373291016
358,2010-01-25,F,10.729999542236328
359,2010-01-25,BMW.DE,30.309999465942383
360,2010-01-25,HMC,34.97999954223633
361,2010-01-25,HYMTF,16.0
364,2010-01-25,000270.KS,19300.0
367,2010-01-25,7201.T,742.0
371,2010-01-25,7270.T,431.0
377,2010-01-25,7261.T,1180.0
379,2010-01-26,TM,86.75
380,2010-01-26,VOW3.DE,56.172122955322266
381,2010-01-26,DAI.DE,33.14500045776367
382,2010-01-26,F,11.170000076293944
383,2010-01-26,BMW.DE,30.0
384,2010-01-26,HMC,34.40999984741211
385,2010-01-26,HYMTF,16.0
387,2010-01-26,000270.KS,19300.0
390,2010-01-26,7201.T,743.0
393,2010-01-26,7270.T,446.0
399,2010-01-26,7261.T,1215.0
401,2010-01-27,TM,81.43000030517578
402,2010-01-27,VOW3.DE,57.007102966308594
403,2010-01-27,DAI.DE,33.45500183105469
404,2010-01-27,F,11.56999969482422
405,2010-01-27,BMW.DE,29.93000030517578
406,2010-01-27,HMC,34.099998474121094
407,2010-01-27,HYMTF,15.75
410,2010-01-27,000270.KS,18700.0
413,2010-01-27,7201.T,726.0
417,2010-01-27,7270.T,442.0
423,2010-01-27,7261.T,1180.0
425,2010-01-28,TM,78.16000366210938
426,2010-01-28,VOW3.DE,56.46038818359375
427,2010-01-28,DAI.DE,33.525001525878906
428,2010-01-28,F,11.899999618530272
429,2010-01-28,BMW.DE,29.950000762939453
430,2010-01-28,HMC,34.97999954223633
431,2010-01-28,HYMTF,15.75
434,2010-01-28,000270.KS,19050.0
437,2010-01-28,7201.T,727.0
441,2010-01-28,7270.T,431.0
447,2010-01-28,7261.T,1170.0
449,2010-01-29,TM,77.9000015258789
450,2010-01-29,VOW3.DE,56.65919494628906
451,2010-01-29,DAI.DE,32.849998474121094
452,2010-01-29,F,11.600000381469728
453,2010-01-29,BMW.DE,29.89999961853028
454,2010-01-29,HMC,34.59000015258789
455,2010-01-29,HYMTF,17.350000381469727
458,2010-01-29,000270.KS,19500.0
461,2010-01-29,7201.T,726.0
465,2010-01-29,7270.T,428.0
471,2010-01-29,7261.T,1165.0
473,2010-02-01,TM,78.98999786376953
474,2010-02-01,VOW3.DE,58.15022659301758
475,2010-02-01,DAI.DE,33.0
476,2010-02-01,F,11.140000343322754
477,2010-02-01,BMW.DE,30.690000534057617
478,2010-02-01,HMC,33.810001373291016
479,2010-02-01,HYMTF,17.0
482,2010-02-01,000270.KS,19950.0
485,2010-02-01,7201.T,731.0
489,2010-02-01,7270.T,426.0
495,2010-02-01,7261.T,1230.0
497,2010-02-02,TM,80.48999786376953
498,2010-02-02,VOW3.DE,60.26749038696289
499,2010-02-02,DAI.DE,33.51499938964844
500,2010-02-02,F,11.260000228881836
501,2010-02-02,BMW.DE,31.049999237060547
502,2010-02-02,HMC,33.970001220703125
503,2010-02-02,HYMTF,16.950000762939453
506,2010-02-02,000270.KS,20850.0
509,2010-02-02,7201.T,735.0
513,2010-02-02,7270.T,436.0
519,2010-02-02,7261.T,1210.0
521,2010-02-03,TM,75.69999694824219
522,2010-02-03,VOW3.DE,60.9334831237793
523,2010-02-03,DAI.DE,33.959999084472656
524,2010-02-03,F,11.489999771118164
525,2010-02-03,BMW.DE,31.280000686645508
526,2010-02-03,HMC,35.02000045776367
527,2010-02-03,HYMTF,16.649999618530273
530,2010-02-03,000270.KS,20600.0
533,2010-02-03,7201.T,761.0
537,2010-02-03,7270.T,453.0
543,2010-02-03,7261.T,1215.0
545,2010-02-04,TM,72.44000244140625
546,2010-02-04,VOW3.DE,61.28139114379883
547,2010-02-04,DAI.DE,34.494998931884766
548,2010-02-04,F,11.489999771118164
549,2010-02-04,BMW.DE,31.315000534057617
550,2010-02-04,HMC,35.31999969482422
551,2010-02-04,HYMTF,16.84000015258789
554,2010-02-04,000270.KS,20500.0
557,2010-02-04,7201.T,770.0
561,2010-02-04,7270.T,459.0
567,2010-02-04,7261.T,1270.0
569,2010-02-05,TM,73.08999633789062
570,2010-02-05,VOW3.DE,59.591556549072266
571,2010-02-05,DAI.DE,33.310001373291016
572,2010-02-05,F,10.970000267028809
573,2010-02-05,BMW.DE,30.2450008392334
574,2010-02-05,HMC,34.56999969482422
575,2010-02-05,HYMTF,16.84000015258789
578,2010-02-05,000270.KS,20300.0
581,2010-02-05,7201.T,734.0
585,2010-02-05,7270.T,430.0
